method,space,tile_size,clip_limit,processing_time,overall_mean_brightness,overall_brightness_std,overall_brightness_change,roi_id,roi_rms_contrast,roi_edge_strength,roi_mean_brightness,roi_brightness_std
CLAHE,yuv,4x4,1.5,0.007448911666870117,42.31288302951389,54.4982773826236,14.8271875,1,13.782494133822931,191033.64430052807,26.45308883101852,15.33768733026058
CLAHE,yuv,4x4,1.5,0.007448911666870117,42.31288302951389,54.4982773826236,14.8271875,2,52.52588158404836,1321827.2355560162,68.95421006944444,57.23240559774228
CLAHE,yuv,4x4,1.5,0.007448911666870117,42.31288302951389,54.4982773826236,14.8271875,3,62.25507620333063,2253000.589249619,104.00430410879629,67.38908053920228
CLAHE,ycbcr,4x4,1.5,0.006782054901123047,42.23365017361111,54.50373629005206,14.74795464409722,1,13.590196494356082,191208.99000728852,26.208857783564813,15.311421034748138
CLAHE,ycbcr,4x4,1.5,0.006782054901123047,42.23365017361111,54.50373629005206,14.74795464409722,2,52.51470255373425,1321756.677482716,68.79332139756944,57.272022748702234
CLAHE,ycbcr,4x4,1.5,0.006782054901123047,42.23365017361111,54.50373629005206,14.74795464409722,3,62.291847771294265,2253100.43679863,103.86783854166667,67.46587064827973
CLAHE,lab,4x4,1.5,0.09415793418884277,39.84480360243055,52.77818641418249,12.359108072916662,1,11.62128054140535,167384.46830990567,23.178367332175927,13.107773474522505
CLAHE,lab,4x4,1.5,0.09415793418884277,39.84480360243055,52.77818641418249,12.359108072916662,2,51.18863615442326,1262847.2326433482,62.62323676215278,56.5024327442317
CLAHE,lab,4x4,1.5,0.09415793418884277,39.84480360243055,52.77818641418249,12.359108072916662,3,61.59866535644665,2169455.262299962,97.40156611689815,67.21903870881616
CLAHE,yuv,4x4,2.0,0.0060138702392578125,46.037044270833334,56.33642511189953,18.551348741319444,1,15.470760640830115,216633.49209021375,29.98536964699074,16.943749895425835
CLAHE,yuv,4x4,2.0,0.0060138702392578125,46.037044270833334,56.33642511189953,18.551348741319444,2,53.3898720191227,1370859.7955582878,75.45174153645833,57.91056907073519
CLAHE,yuv,4x4,2.0,0.0060138702392578125,46.037044270833334,56.33642511189953,18.551348741319444,3,61.67544706053308,2266102.083104577,108.44773582175925,66.7678947389909
CLAHE,ycbcr,4x4,2.0,0.007754087448120117,45.95773328993056,56.33886880880224,18.47203776041667,1,15.280361857790485,216766.24734710006,29.741138599537038,16.906442895452674
CLAHE,ycbcr,4x4,2.0,0.007754087448120117,45.95773328993056,56.33886880880224,18.47203776041667,2,53.370045606690844,1370699.277823855,75.29123263888889,57.94980863013092
CLAHE,ycbcr,4x4,2.0,0.007754087448120117,45.95773328993056,56.33886880880224,18.47203776041667,3,61.708132698552774,2266047.895159217,108.31136067708333,66.8439083118297
CLAHE,lab,4x4,2.0,0.005945682525634766,42.79522243923611,54.18940342882351,15.309526909722223,1,12.488955462074868,183946.48262759869,25.39425998263889,13.904161137668355
CLAHE,lab,4x4,2.0,0.005945682525634766,42.79522243923611,54.18940342882351,15.309526909722223,2,51.841665672447256,1298227.5242345058,67.3193359375,57.07832265335179
CLAHE,lab,4x4,2.0,0.005945682525634766,42.79522243923611,54.18940342882351,15.309526909722223,3,61.34665200605605,2180286.6274144216,100.58959056712963,66.9697896830009
CLAHE,yuv,4x4,2.5,0.00788116455078125,49.15199978298611,57.76966361973944,21.66630425347222,1,16.99683101228991,239236.56273848383,33.323531539351855,18.411141322491346
CLAHE,yuv,4x4,2.5,0.00788116455078125,49.15199978298611,57.76966361973944,21.66630425347222,2,54.07239422208647,1410462.973796021,81.32280815972223,58.42428748596521
CLAHE,yuv,4x4,2.5,0.00788116455078125,49.15199978298611,57.76966361973944,21.66630425347222,3,61.09463336488181,2271171.6015072362,112.27595124421296,66.14394084398528
CLAHE,ycbcr,4x4,2.5,0.007940053939819336,49.07257921006944,57.76948826276675,21.58688368055555,1,16.808563830501008,239365.66402905824,33.079300491898145,18.365127530294348
CLAHE,ycbcr,4x4,2.5,0.007940053939819336,49.07257921006944,57.76948826276675,21.58688368055555,2,54.04568192895778,1410320.0765904495,81.16259765625,58.46317427261335
CLAHE,ycbcr,4x4,2.5,0.007940053939819336,49.07257921006944,57.76948826276675,21.58688368055555,3,61.12289074738642,2270957.694225923,112.13932291666667,66.21856574532512
CLAHE,lab,4x4,2.5,0.00723576545715332,45.28341471354167,55.311983759497465,17.797719184027777,1,13.428321990926058,197733.89682978124,27.55108868634259,14.80513109460822
